TradeDate,Amount_NOK
2022-04-11,9.479999999999999
2022-04-20,2000.0
2022-04-27,-200.0
2022-04-28,-800.0
2022-05-05,-467.9
2022-05-12,-9189.79
2022-05-20,-15023.010000000002
2022-05-21,0.0
2022-05-23,-18928.6
2022-05-27,70000.0
2022-05-28,0.0
2022-05-31,-48558.5
2022-06-13,57819.19
2022-06-17,-10779.3
2022-06-20,2000.0
2022-06-27,31706.27
2022-07-01,50587.91
2022-07-05,-506.53
2022-07-12,222.95
2022-07-15,-12729.0
2022-07-20,2000.0
2022-07-22,-58922.600000000006
2022-07-25,34226.02
2022-07-27,170919.67
2022-08-02,-30962.75
2022-08-03,-4917.7
2022-08-10,-48412.95
2022-08-12,-5000.0
2022-08-15,-11488.5
2022-08-16,-1166.2700000000023
2022-08-17,-7949.0
2022-08-18,-3965.0
2022-08-19,-4089.0
2022-08-22,-3748.25
2022-08-23,-10755.25
2022-08-25,-200.0
2022-08-26,-800.0
2022-08-29,-3167.2
2022-08-31,25358.9
2022-09-05,-2034.59
2022-09-12,90000.0
2022-09-13,-17578.510000000002
2022-09-14,-30000.0
2022-09-15,30000.0
2022-09-16,17086.0
2022-09-20,5231.6500000000015
2022-09-21,803.9000000000001
2022-09-22,5943.34
2022-09-26,-200.0
2022-09-27,-800.0
2022-10-05,-520.58
2022-10-12,-22682.5
2022-10-13,-28059.600000000002
2022-10-14,-9907.05
2022-10-24,-69316.48
2022-10-25,2000.0
2022-10-28,65000.0
2022-11-01,14000.0
2022-11-02,-9769.4
2022-11-03,-19616.8
2022-11-04,-15337.599999999999
2022-11-07,-1484.72
2022-11-08,-8170.5
2022-11-09,-6180.700000000001
2022-11-11,22481.58
2022-11-13,0.0
2022-11-14,-15235.95
2022-11-16,-7941.3
2022-11-18,-7716.2
2022-11-21,-13601.2
2022-11-24,3379.7299999999996
2022-11-25,-10252.85
2022-11-28,-1200.0
2022-11-29,-9286.5
2022-12-03,0.0
2022-12-05,9000.099999999999
2022-12-09,11654.5
2022-12-12,-5052.2
2022-12-16,-9224.0
2022-12-19,-7261.0
2022-12-20,2000.0
2022-12-22,-5816.799999999999
2022-12-27,-27329.699999999997
2022-12-29,27082.9
2022-12-30,24022.1
2023-01-02,-12843.0
2023-01-03,-19182.1
2023-01-05,-1485.23
2023-01-10,10421.3
2023-01-11,-4598.6
2023-01-12,-4619.8
2023-01-15,0.0
2023-01-16,-7579.0
2023-01-17,-6490.299999999999
2023-01-18,0.0
2023-01-19,-4033.0
2023-01-20,-2343.75
2023-01-25,1700.0
2023-01-26,-12435.8
2023-01-27,70000.0
2023-01-30,20000.0
2023-01-31,4550.0
2023-02-06,-15588.97
2023-02-07,-10386.0
2023-02-08,-11027.6
2023-02-09,19255.6
2023-02-10,0.0
2023-02-13,-7101.55
2023-02-15,5304.2
2023-02-17,-4931.3
2023-02-20,-21632.11
2023-02-21,-24933.1
2023-02-28,70000.0
2023-03-02,-4555.9
2023-03-06,-1505.5299999999997
2023-03-08,-5359.0
2023-03-09,90000.0
2023-03-11,0.0
2023-03-13,4000.0
2023-03-14,-40418.42
2023-03-15,-23655.9
2023-03-16,-21851.65
2023-03-20,-23030.16
2023-03-24,-4537.75
2023-04-05,-819.5799999999999
2023-04-12,4000.0
2023-04-15,0.0
2023-04-17,-5036.419999999998
2023-04-18,-3000.0
2023-04-22,0.0
2023-04-24,-12457.89
2023-04-25,-1500.0
2023-04-26,-2000.0
2023-04-29,0.0
2023-05-01,-5295.8
2023-05-02,-18212.41
2023-05-05,-10267.42
2023-05-08,50000.0
2023-05-12,5000.0
2023-05-16,-14632.82
2023-05-22,10238.93
2023-05-24,-6680.75
2023-05-25,-4695.43
2023-05-26,-1250.0
2023-05-29,40000.0
2023-05-30,-38902.73
2023-06-01,30000.0
2023-06-05,-25541.329999999998
2023-06-12,5000.0
2023-06-14,-7364.86
2023-06-21,-6625.64
2023-06-23,-7699.0
2023-06-26,-3822.09
2023-06-27,-3200.0
2023-06-29,33568.25
2023-07-03,-6750.07
2023-07-05,-3924.13
2023-07-10,500.0
2023-07-11,-18598.88
2023-07-12,3016.0
2023-07-14,18115.58
2023-07-20,5442.9000000000015
2023-07-24,-4587.5
2023-07-25,-800.0
2023-07-26,-3200.0
2023-07-27,35001.67
2023-07-28,3000.0
2023-07-31,-26493.6
2023-08-07,52372.75
2023-08-08,4395.42
2023-08-09,19392.92
2023-08-11,-2453.029999999999
2023-08-14,0.0
2023-08-16,-4926.12
2023-08-28,-1098.48
2023-09-05,-1167.8
2023-09-06,-800.0
2023-09-08,196.79
2023-09-11,-5083.4
2023-09-13,790.24
2023-10-05,-1019.63
2023-10-12,8000.0
2023-10-20,-10615.3
2023-10-24,-1484.28
2023-10-25,-4867.4
2023-10-26,0.0
2023-10-27,-9681.8
2023-10-30,0.0
2023-11-01,-4803.8
2023-11-06,34879.61
2023-11-10,-5456.5
2023-11-13,1.3699999999998909
2023-11-14,-8928.54
2023-11-15,0.0
2023-11-16,0.0
2023-11-30,0.0
2023-12-12,8000.0
2023-12-15,9043.89
2023-12-18,7233.46
2023-12-22,4510.38
2023-12-26,-8834.14
2024-01-18,-6921.5
2024-01-31,0.0
2024-02-02,-29483.63
2024-02-05,-865.0799999999999
2024-02-12,8000.0
2024-02-15,0.0
2024-02-16,5000.0
2024-02-19,-4999.4
2024-02-23,-17032.53
2024-02-29,0.0
2024-03-01,0.0
2024-04-12,8000.0
2024-04-19,0.0
2024-04-23,-19953.29
